상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
12070611,굽네치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,46,전라남도,46230,광양시,4623025000,광양읍,4623025025,광양읍,4623025025105540001,1,대지,554,1,전라남도 광양시 광양읍 목성리 554-1,462303285036,전라남도 광양시 광양읍 유당로,43,,4623025025105540001000413,,전라남도 광양시 광양읍 유당로 43,545803,57744,,1,,127.592910407052,34.9752403333651
12070709,몽이치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,43,충청북도,43720,보은군,4372025000,보은읍,4372025021,보은읍,4372025021100270014,1,대지,27,14,충청북도 보은군 보은읍 삼산리 27-14,437204523120,충청북도 보은군 보은읍 동편길,22,,4372025021100270014000394,,충청북도 보은군 보은읍 동편길 22,376807,28950,,1,,127.721157395823,36.4821364380116
12070790,네네치킨전곡점,전곡점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41800,연천군,4180025300,전곡읍,4180025321,전곡읍,4180025321104600013,1,대지,460,13,경기도 연천군 전곡읍 전곡리 460-13,418004445302,경기도 연천군 전곡읍 은전로78번길,30,,4180025321104600013002461,,경기도 연천군 전곡읍 은전로78번길 30,486903,11033,,1,,127.068671216812,38.0270344909862
12071623,네네치킨,모덕점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,26,부산광역시,26530,사상구,2653061000,덕포2동,2653010300,덕포동,2653010300104040002,1,대지,404,2,부산광역시 사상구 덕포동 404-2,265304217233,부산광역시 사상구 사상로342번길,8,,2653010300104040002013596,청남공인중개사,부산광역시 사상구 사상로342번길 8,617040,46945,,1,,128.98474358285,35.1749730211344
12071822,쭈노치킨가게,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41800,연천군,4180025300,전곡읍,4180025321,전곡읍,4180025321103330171,1,대지,333,171,경기도 연천군 전곡읍 전곡리 333-171,418004445302,경기도 연천군 전곡읍 은전로78번길,47,,4180025321103330171002356,,경기도 연천군 전곡읍 은전로78번길 47,486903,11033,,1,,127.069306844777,38.0263097313163
12072158,해미,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,27,대구광역시,27290,달서구,2729058500,신당동,2729010400,파호동,2729010400100850006,1,대지,85,6,대구광역시 달서구 파호동 85-6,272904241632,대구광역시 달서구 호산로27길,18,,2729010400100850006006195,,대구광역시 달서구 호산로27길 18,704220,42706,,1,,128.475974855807,35.8521922439796
12072169,누나홀닭,[숙박및음식점업],Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11545,금천구,1154567000,시흥1동,1154510300,시흥동,1154510300108900012,1,대지,890,12,서울특별시 금천구 시흥동 890-12,115454151317,서울특별시 금천구 시흥대로52길,5,,1154510300108900012016194,,서울특별시 금천구 시흥대로52길 5,153030,08629,,1,,126.902487985367,37.4515761025258
12072178,네네치킨,무창포해수욕장점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,44,충청남도,44180,보령시,4418025000,웅천읍,4418025028,웅천읍,4418025028108180011,1,대지,818,11,충청남도 보령시 웅천읍 관당리 818-11,441803252027,충청남도 보령시 웅천읍 열린바다로,342,,4418025028108180011032583,바위섬편의점,충청남도 보령시 웅천읍 열린바다로 342,355851,33508,,,,126.534587823128,36.2413847792046
12072435,BHC치킨몰운대롯데캐슬점,몰운대롯데캐슬점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,26,부산광역시,26380,사하구,2638060100,다대1동,2638010600,다대동,2638010600109580005,1,대지,958,5,부산광역시 사하구 다대동 958-5,263803134021,부산광역시 사하구 윤공단로,23,1,2638010600109580005020381,,부산광역시 사하구 윤공단로 23-1,604050,49495,,1,,128.967957802408,35.0543828627235
12072538,옛날통닭,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,27,대구광역시,27200,남구,2720061000,대명6동,2720010300,대명동,2720010300109880004,1,대지,988,4,대구광역시 남구 대명동 988-4,272004232214,대구광역시 남구 안지랑로15길,56,,2720010300109880004004322,,대구광역시 남구 안지랑로15길 56,705030,42493,,1,,128.568175575114,35.8366313444496
